;artist;genre;media;style;title;url;year
15;Tamara de Lempicka;nude painting (nu);;art deco;Reclining Nude I;https://uploads5.wikiart.org/images/tamara-de-lempicka/reclining-nude-i-1925(1).jpg!Large.jpg;
16;Tamara de Lempicka;portrait;oil,canvas;art deco;Kizette in Pink;https://uploads6.wikiart.org/00295/images/tamara-de-lempicka/kizette-in-pink-1926.jpg!Large.jpg;1926
17;Tamara de Lempicka;portrait;;art deco;The Marquis D'Afflitto on a Staircase;https://uploads5.wikiart.org/images/tamara-de-lempicka/the-marquis-d-afflitto-on-a-staircase-1926.jpg!Large.jpg;1926
18;Tamara de Lempicka;portrait;;art deco;Kizette On The Balcony;https://uploads8.wikiart.org/images/tamara-de-lempicka/kizette-on-the-balcony-1927.jpg!Large.jpg;1927
19;Tamara de Lempicka;nude painting (nu);;art deco;La Belle Rafaela;https://uploads2.wikiart.org/images/tamara-de-lempicka/la-belle-rafaela-1927.jpg!Large.jpg;1927
20;Tamara de Lempicka;portrait;oil,canvas;art deco;Portrait of S.A.I. Grand Duke Gavriil Kostantinovic;https://uploads0.wikiart.org/images/tamara-de-lempicka/portrait-of-s-a-i-grand-duke-gavriil-kostantinovic-1927.jpg!Large.jpg;1927
21;Tamara de Lempicka;portrait;;art deco;The Pink Shirt;https://uploads3.wikiart.org/images/tamara-de-lempicka/the-pink-shirt.jpg;1927
22;Tamara de Lempicka;portrait;;art deco;Young Ladies;https://uploads7.wikiart.org/images/tamara-de-lempicka/young-ladies-1927.jpg!Large.jpg;1927
23;Tamara de Lempicka;portrait;;art deco;Kizette Communiante;https://uploads0.wikiart.org/00295/images/tamara-de-lempicka/kizette-communiante-1928.jpg;1928
24;Tamara de Lempicka;portrait;;art deco;In The Middle Of Summer;https://uploads0.wikiart.org/images/tamara-de-lempicka/in-the-middle-of-summer-1928.jpg!Large.jpg;1928
25;Tamara de Lempicka;portrait;;art deco;Maternity;https://uploads3.wikiart.org/images/tamara-de-lempicka/maternity-1928.jpg;1928
26;Tamara de Lempicka;nude painting (nu);;art deco;Nude with Dove;https://uploads0.wikiart.org/images/tamara-de-lempicka/nude-with-dove-1928.jpg!Large.jpg;1928
27;Tamara de Lempicka;portrait;;art deco;Portrait of a Man or Mr Tadeusz de Lempicki;https://uploads2.wikiart.org/images/tamara-de-lempicka/portrait-of-a-man-or-mr-tadeusz-de-lempicki-1928.jpg!Large.jpg;1928
28;Tamara de Lempicka;portrait;;art deco;Portrait Of Nanade Herrera;https://uploads3.wikiart.org/images/tamara-de-lempicka/portrait-of-nanade-herrera-1928.jpg!Large.jpg;1928
29;Tamara de Lempicka;portrait;;art deco;Portrait of Romana de La Salle;https://uploads7.wikiart.org/images/tamara-de-lempicka/portrait-of-romana-de-la-salle-1928.jpg!Large.jpg;1928
30;Tamara de Lempicka;portrait;;art deco;Potrait of Arlette Boucard;https://uploads3.wikiart.org/images/tamara-de-lempicka/potrait-of-arlette-boucard-1928.jpg!Large.jpg;1928
31;Tamara de Lempicka;portrait;;art deco;Printemps;https://uploads4.wikiart.org/images/tamara-de-lempicka/printemps-1928.jpg!Large.jpg;1928
32;Tamara de Lempicka;portrait;;art deco;The Communicant;https://uploads0.wikiart.org/images/tamara-de-lempicka/the-communicant-1928.jpg;1928
33;Tamara de Lempicka;portrait;;art deco;Woman with a Green Glove;https://uploads1.wikiart.org/images/tamara-de-lempicka/woman-with-a-green-glove-1928.jpg!Large.jpg;1928
34;Tamara de Lempicka;portrait;;art deco;Kizette Au Châle Polonais (Polish Girl);https://uploads1.wikiart.org/00295/images/tamara-de-lempicka/kizette-au-ch-le-polonais-polish-girl-1929.jpg!Large.jpg;1929
35;Tamara de Lempicka;nude painting (nu);;art deco;Andromeda;https://uploads4.wikiart.org/images/tamara-de-lempicka/andromeda-1929.jpg!Large.jpg;1929
36;Tamara de Lempicka;portrait;;art deco;Blue Woman with a Guitar;https://uploads1.wikiart.org/images/tamara-de-lempicka/blue-woman-with-a-guitar-1929.jpg!Large.jpg;1929
37;Tamara de Lempicka;portrait;oil,plywood;art deco;Girl with Gloves;https://uploads2.wikiart.org/images/tamara-de-lempicka/girl-with-gloves-1929.jpg!Large.jpg;1929
38;Tamara de Lempicka;self-portrait;oil,panel;art deco;My Portrait (Self-Portrait in the Green Bugatti);https://uploads6.wikiart.org/images/tamara-de-lempicka/portrait-in-the-green-bugatti-1925.jpg!Large.jpg;
39;Tamara de Lempicka;portrait;;art deco;Portrait Of Dr. Boucard;https://uploads8.wikiart.org/images/tamara-de-lempicka/portrait-of-dr-boucard-1929.jpg!Large.jpg;1929
40;Tamara de Lempicka;portrait;;art deco;Saint Moritz;https://uploads7.wikiart.org/images/tamara-de-lempicka/saint-moritz-1929.jpg!Large.jpg;1929
