;artist;genre;media;style;title;url;year
225;Pablo Picasso;genre painting;oil,canvas;expressionism,symbolism;Girl on the ball;https://uploads6.wikiart.org/images/pablo-picasso/girl-on-the-ball-1905.jpg!Large.jpg;
226;Pablo Picasso;genre painting;oil,cardboard;post-impressionism;Harlequin on the horseback;https://uploads7.wikiart.org/images/pablo-picasso/harlequin-on-the-horseback-1905.jpg!Large.jpg;
227;Pablo Picasso;genre painting;indian ink,watercolor,paper;expressionism;Harlequin's family;https://uploads8.wikiart.org/images/pablo-picasso/harlequin-s-family-1905.jpg!Large.jpg;1905
228;Pablo Picasso;genre painting;gouache,ink,paper;expressionism;Harlequin's family;https://uploads0.wikiart.org/images/pablo-picasso/harlequin-s-family-1905-1.jpg;
229;Pablo Picasso;portrait;oil,panel;post-impressionism;Harlequin's Head;https://uploads6.wikiart.org/images/pablo-picasso/harlequin-s-head-1905.jpg!Large.jpg;1905
230;Pablo Picasso;portrait;gouache,ink,paper;expressionism;Head of hurdy-gurdy;https://uploads0.wikiart.org/images/pablo-picasso/head-of-hurdy-gurdy-1905.jpg!Large.jpg;
231;Pablo Picasso;portrait;gouache,canvas;expressionism;Head of young man;https://uploads7.wikiart.org/images/pablo-picasso/head-of-young-man-1905.jpg!Large.jpg;
232;Pablo Picasso;genre painting;gouache,cardboard;symbolism;Hurdy-gurdy;https://uploads1.wikiart.org/images/pablo-picasso/hurdy-gurdy-1905.jpg!Large.jpg;1905
233;Pablo Picasso;portrait;oil,canvas;expressionism;Madame Soler;https://uploads2.wikiart.org/images/pablo-picasso/madame-soler-1905.jpg!Large.jpg;1905
234;Pablo Picasso;portrait;gouache,cardboard;expressionism;Mallorcan;https://uploads8.wikiart.org/images/pablo-picasso/mallorcan-1905.jpg!Large.jpg;
235;Pablo Picasso;sketch and study;;post-impressionism;Mother and Child;https://uploads6.wikiart.org/images/pablo-picasso/mother-and-child-1905.jpg!Large.jpg;1905
236;Pablo Picasso;genre painting;gouache,canvas;post-impressionism;Mother and child (Baladins);https://uploads6.wikiart.org/images/pablo-picasso/mother-and-child-baladins-1905.jpg!Large.jpg;
237;Pablo Picasso;nude painting (nu);gouache,watercolor,paper;post-impressionism;Nudes interlaces;https://uploads6.wikiart.org/images/pablo-picasso/nudes-interlaces-1905.jpg!Large.jpg;
238;Pablo Picasso;portrait;oil,canvas;post-impressionism;Portrait of Madame Canals;https://uploads6.wikiart.org/images/pablo-picasso/portrait-of-madame-canals-1905.jpg!Large.jpg;1905
239;Pablo Picasso;portrait;chalk,indian ink,paper;expressionism;Profile of young dutchwoman;https://uploads7.wikiart.org/images/pablo-picasso/profile-of-young-dutchwoman-1905.jpg;
240;Pablo Picasso;sketch and study;indian ink,watercolor,paper;symbolism;Right profile of clown;https://uploads3.wikiart.org/images/pablo-picasso/right-profile-of-clown-1905.jpg!Large.jpg;
241;Pablo Picasso;sketch and study;;symbolism;Salome;https://uploads5.wikiart.org/images/pablo-picasso/salome-1905.jpg!Large.jpg;1905
242;Pablo Picasso;genre painting;ink,watercolor,paper;art nouveau (modern);Seated fat clown;https://uploads6.wikiart.org/images/pablo-picasso/seated-fat-clown-1905.jpg!Large.jpg;
243;Pablo Picasso;nude painting (nu);oil,cardboard;post-impressionism;Seated female nude;https://uploads8.wikiart.org/images/pablo-picasso/seated-female-nude-1905.jpg!Large.jpg;1905
244;Pablo Picasso;animal painting;ink,watercolor,paper;post-impressionism;Seated monkey;https://uploads3.wikiart.org/images/pablo-picasso/seated-monkey-1905.jpg!Large.jpg;
245;Pablo Picasso;genre painting;;expressionism;The bread carrier;https://uploads7.wikiart.org/images/pablo-picasso/the-bread-carrier-1905.jpg!Large.jpg;
